Valuador,Muestra,NombreProducto,CodigoProducto,CodigoMuestra
V1,2,144_1,420,M705
V1,3,136_2,266,M352
V1,7,136_1,510,M990
V1,5,142_1,360,M55
V1,8,139_1,827,M363
V1,4,144_2,489,M102
V1,1,135_1,528,M769
V1,6,140_1,173,M122
V2,3,136_2,266,M410
V2,5,142_1,360,M626
V2,2,144_1,420,M384
V2,4,144_2,489,M915
V2,7,136_1,510,M934
V2,6,140_1,173,M772
V2,8,139_1,827,M896
V2,1,135_1,528,M1
V3,5,142_1,360,M88
V3,4,144_2,489,M506
V3,3,136_2,266,M661
V3,6,140_1,173,M183
V3,2,144_1,420,M952
V3,1,135_1,528,M283
V3,7,136_1,510,M394
V3,8,139_1,827,M279
V4,4,144_2,489,M742
V4,6,140_1,173,M87
V4,5,142_1,360,M71
V4,1,135_1,528,M885
V4,3,136_2,266,M322
V4,8,139_1,827,M843
V4,2,144_1,420,M455
V4,7,136_1,510,M936
V5,6,140_1,173,M549
V5,1,135_1,528,M907
V5,4,144_2,489,M617
V5,8,139_1,827,M851
V5,5,142_1,360,M616
V5,7,136_1,510,M402
V5,3,136_2,266,M277
V5,2,144_1,420,M496
V6,1,135_1,528,M370
V6,8,139_1,827,M323
V6,6,140_1,173,M492
V6,7,136_1,510,M94
V6,4,144_2,489,M975
V6,2,144_1,420,M517
V6,5,142_1,360,M127
V6,3,136_2,266,M503
V7,8,139_1,827,M199
V7,7,136_1,510,M218
V7,1,135_1,528,M604
V7,2,144_1,420,M354
V7,6,140_1,173,M749
V7,3,136_2,266,M905
V7,4,144_2,489,M766
V7,5,142_1,360,M221
V8,7,136_1,510,M527
V8,2,144_1,420,M204
V8,8,139_1,827,M2
V8,3,136_2,266,M740
V8,1,135_1,528,M919
V8,5,142_1,360,M531
V8,6,140_1,173,M177
V8,4,144_2,489,M487
V9,4,144_2,489,M572
V9,1,135_1,528,M886
V9,5,142_1,360,M378
V9,2,144_1,420,M237
V9,7,136_1,510,M834
V9,8,139_1,827,M694
V9,3,136_2,266,M777
V9,6,140_1,173,M132
V10,1,135_1,528,M472
V10,2,144_1,420,M543
V10,4,144_2,489,M139
V10,8,139_1,827,M544
V10,5,142_1,360,M920
V10,6,140_1,173,M734
V10,7,136_1,510,M146
V10,3,136_2,266,M278
V11,2,144_1,420,M989
V11,8,139_1,827,M43
V11,1,135_1,528,M263
V11,6,140_1,173,M429
V11,4,144_2,489,M356
V11,3,136_2,266,M212
V11,5,142_1,360,M54
V11,7,136_1,510,M955
V12,8,139_1,827,M597
V12,6,140_1,173,M401
V12,2,144_1,420,M852
V12,3,136_2,266,M917
V12,1,135_1,528,M685
V12,7,136_1,510,M613
V12,4,144_2,489,M38
V12,5,142_1,360,M972
V13,6,140_1,173,M589
V13,3,136_2,266,M348
V13,8,139_1,827,M866
V13,7,136_1,510,M255
V13,2,144_1,420,M914
V13,5,142_1,360,M560
V13,1,135_1,528,M996
V13,4,144_2,489,M906
V14,3,136_2,266,M80
V14,7,136_1,510,M739
V14,6,140_1,173,M28
V14,5,142_1,360,M462
V14,8,139_1,827,M20
V14,4,144_2,489,M374
V14,2,144_1,420,M813
V14,1,135_1,528,M32
V15,7,136_1,510,M876
V15,5,142_1,360,M408
V15,3,136_2,266,M258
V15,4,144_2,489,M902
V15,6,140_1,173,M628
V15,1,135_1,528,M803
V15,8,139_1,827,M366
V15,2,144_1,420,M320
V16,5,142_1,360,M665
V16,4,144_2,489,M160
V16,7,136_1,510,M795
V16,1,135_1,528,M724
V16,3,136_2,266,M497
V16,2,144_1,420,M623
V16,6,140_1,173,M148
V16,8,139_1,827,M683
V17,6,140_1,173,M228
V17,8,139_1,827,M799
V17,7,136_1,510,M289
V17,1,135_1,528,M657
V17,2,144_1,420,M594
V17,5,142_1,360,M276
V17,3,136_2,266,M650
V17,4,144_2,489,M774
V18,8,139_1,827,M966
V18,1,135_1,528,M243
V18,6,140_1,173,M963
V18,5,142_1,360,M141
V18,7,136_1,510,M331
V18,4,144_2,489,M534
V18,2,144_1,420,M158
V18,3,136_2,266,M726
V19,1,135_1,528,M457
V19,5,142_1,360,M644
V19,8,139_1,827,M425
V19,4,144_2,489,M107
V19,6,140_1,173,M555
V19,3,136_2,266,M992
V19,7,136_1,510,M446
V19,2,144_1,420,M909
V20,5,142_1,360,M815
V20,4,144_2,489,M464
V20,1,135_1,528,M13
V20,3,136_2,266,M763
V20,8,139_1,827,M515
V20,2,144_1,420,M569
V20,6,140_1,173,M303
V20,7,136_1,510,M192
V21,4,144_2,489,M187
V21,3,136_2,266,M117
V21,5,142_1,360,M415
V21,2,144_1,420,M338
V21,1,135_1,528,M669
V21,7,136_1,510,M270
V21,8,139_1,827,M465
V21,6,140_1,173,M542
V22,3,136_2,266,M873
V22,2,144_1,420,M162
V22,4,144_2,489,M417
V22,7,136_1,510,M662
V22,5,142_1,360,M115
V22,6,140_1,173,M479
V22,1,135_1,528,M985
V22,8,139_1,827,M175
V23,2,144_1,420,M452
V23,7,136_1,510,M318
V23,3,136_2,266,M219
V23,6,140_1,173,M346
V23,4,144_2,489,M838
V23,8,139_1,827,M395
V23,5,142_1,360,M954
V23,1,135_1,528,M634
V24,7,136_1,510,M502
V24,6,140_1,173,M706
V24,2,144_1,420,M605
V24,8,139_1,827,M137
V24,3,136_2,266,M484
V24,1,135_1,528,M747
V24,4,144_2,489,M241
V24,5,142_1,360,M388
V25,4,144_2,489,M637
V25,1,135_1,528,M161
V25,7,136_1,510,M956
V25,2,144_1,420,M926
V25,8,139_1,827,M173
V25,5,142_1,360,M473
V25,6,140_1,173,M575
V25,3,136_2,266,M679
V26,1,135_1,528,M367
V26,2,144_1,420,M420
V26,4,144_2,489,M884
V26,5,142_1,360,M100
V26,7,136_1,510,M553
V26,3,136_2,266,M652
V26,8,139_1,827,M964
V26,6,140_1,173,M387
V27,2,144_1,420,M248
V27,5,142_1,360,M382
V27,1,135_1,528,M978
V27,3,136_2,266,M470
V27,4,144_2,489,M552
V27,6,140_1,173,M521
V27,7,136_1,510,M379
V27,8,139_1,827,M770
V28,5,142_1,360,M242
V28,3,136_2,266,M483
V28,2,144_1,420,M240
V28,6,140_1,173,M201
V28,1,135_1,528,M491
V28,8,139_1,827,M475
V28,4,144_2,489,M0
V28,7,136_1,510,M733
V29,3,136_2,266,M667
V29,6,140_1,173,M612
V29,5,142_1,360,M845
V29,8,139_1,827,M302
V29,2,144_1,420,M688
V29,7,136_1,510,M133
V29,1,135_1,528,M106
V29,4,144_2,489,M535
V30,6,140_1,173,M209
V30,8,139_1,827,M155
V30,3,136_2,266,M282
V30,7,136_1,510,M765
V30,5,142_1,360,M889
V30,4,144_2,489,M643
V30,2,144_1,420,M453
V30,1,135_1,528,M949
V31,8,139_1,827,M79
V31,7,136_1,510,M99
V31,6,140_1,173,M421
V31,4,144_2,489,M236
V31,3,136_2,266,M609
V31,1,135_1,528,M875
V31,5,142_1,360,M752
V31,2,144_1,420,M482
V32,7,136_1,510,M8
V32,4,144_2,489,M908
V32,8,139_1,827,M961
V32,1,135_1,528,M697
V32,6,140_1,173,M389
V32,2,144_1,420,M684
V32,3,136_2,266,M295
V32,5,142_1,360,M714
