Valuador,Muestra,NombreProducto,CodigoProducto
V1,2,139_2,261
V1,3,145_2,333
V1,7,134_1,984
V1,5,134_2,958
V1,8,140_2,977
V1,4,142_2,161
V1,1,137_1,125
V1,6,141_1,448
V2,3,145_2,333
V2,5,134_2,958
V2,2,139_2,261
V2,4,142_2,161
V2,7,134_1,984
V2,6,141_1,448
V2,8,140_2,977
V2,1,137_1,125
V3,5,134_2,958
V3,4,142_2,161
V3,3,145_2,333
V3,6,141_1,448
V3,2,139_2,261
V3,1,137_1,125
V3,7,134_1,984
V3,8,140_2,977
V4,4,142_2,161
V4,6,141_1,448
V4,5,134_2,958
V4,1,137_1,125
V4,3,145_2,333
V4,8,140_2,977
V4,2,139_2,261
V4,7,134_1,984
V5,6,141_1,448
V5,1,137_1,125
V5,4,142_2,161
V5,8,140_2,977
V5,5,134_2,958
V5,7,134_1,984
V5,3,145_2,333
V5,2,139_2,261
V6,1,137_1,125
V6,8,140_2,977
V6,6,141_1,448
V6,7,134_1,984
V6,4,142_2,161
V6,2,139_2,261
V6,5,134_2,958
V6,3,145_2,333
V7,8,140_2,977
V7,7,134_1,984
V7,1,137_1,125
V7,2,139_2,261
V7,6,141_1,448
V7,3,145_2,333
V7,4,142_2,161
V7,5,134_2,958
V8,7,134_1,984
V8,2,139_2,261
V8,8,140_2,977
V8,3,145_2,333
V8,1,137_1,125
V8,5,134_2,958
V8,6,141_1,448
V8,4,142_2,161
V9,4,142_2,161
V9,1,137_1,125
V9,5,134_2,958
V9,2,139_2,261
V9,7,134_1,984
V9,8,140_2,977
V9,3,145_2,333
V9,6,141_1,448
V10,1,137_1,125
V10,2,139_2,261
V10,4,142_2,161
V10,8,140_2,977
V10,5,134_2,958
V10,6,141_1,448
V10,7,134_1,984
V10,3,145_2,333
V11,2,139_2,261
V11,8,140_2,977
V11,1,137_1,125
V11,6,141_1,448
V11,4,142_2,161
V11,3,145_2,333
V11,5,134_2,958
V11,7,134_1,984
V12,8,140_2,977
V12,6,141_1,448
V12,2,139_2,261
V12,3,145_2,333
V12,1,137_1,125
V12,7,134_1,984
V12,4,142_2,161
V12,5,134_2,958
V13,6,141_1,448
V13,3,145_2,333
V13,8,140_2,977
V13,7,134_1,984
V13,2,139_2,261
V13,5,134_2,958
V13,1,137_1,125
V13,4,142_2,161
V14,3,145_2,333
V14,7,134_1,984
V14,6,141_1,448
V14,5,134_2,958
V14,8,140_2,977
V14,4,142_2,161
V14,2,139_2,261
V14,1,137_1,125
V15,7,134_1,984
V15,5,134_2,958
V15,3,145_2,333
V15,4,142_2,161
V15,6,141_1,448
V15,1,137_1,125
V15,8,140_2,977
V15,2,139_2,261
V16,5,134_2,958
V16,4,142_2,161
V16,7,134_1,984
V16,1,137_1,125
V16,3,145_2,333
V16,2,139_2,261
V16,6,141_1,448
V16,8,140_2,977
V17,6,141_1,448
V17,8,140_2,977
V17,7,134_1,984
V17,1,137_1,125
V17,2,139_2,261
V17,5,134_2,958
V17,3,145_2,333
V17,4,142_2,161
V18,8,140_2,977
V18,1,137_1,125
V18,6,141_1,448
V18,5,134_2,958
V18,7,134_1,984
V18,4,142_2,161
V18,2,139_2,261
V18,3,145_2,333
V19,1,137_1,125
V19,5,134_2,958
V19,8,140_2,977
V19,4,142_2,161
V19,6,141_1,448
V19,3,145_2,333
V19,7,134_1,984
V19,2,139_2,261
V20,5,134_2,958
V20,4,142_2,161
V20,1,137_1,125
V20,3,145_2,333
V20,8,140_2,977
V20,2,139_2,261
V20,6,141_1,448
V20,7,134_1,984
V21,4,142_2,161
V21,3,145_2,333
V21,5,134_2,958
V21,2,139_2,261
V21,1,137_1,125
V21,7,134_1,984
V21,8,140_2,977
V21,6,141_1,448
V22,3,145_2,333
V22,2,139_2,261
V22,4,142_2,161
V22,7,134_1,984
V22,5,134_2,958
V22,6,141_1,448
V22,1,137_1,125
V22,8,140_2,977
V23,2,139_2,261
V23,7,134_1,984
V23,3,145_2,333
V23,6,141_1,448
V23,4,142_2,161
V23,8,140_2,977
V23,5,134_2,958
V23,1,137_1,125
V24,7,134_1,984
V24,6,141_1,448
V24,2,139_2,261
V24,8,140_2,977
V24,3,145_2,333
V24,1,137_1,125
V24,4,142_2,161
V24,5,134_2,958
V25,4,142_2,161
V25,1,137_1,125
V25,7,134_1,984
V25,2,139_2,261
V25,8,140_2,977
V25,5,134_2,958
V25,6,141_1,448
V25,3,145_2,333
V26,1,137_1,125
V26,2,139_2,261
V26,4,142_2,161
V26,5,134_2,958
V26,7,134_1,984
V26,3,145_2,333
V26,8,140_2,977
V26,6,141_1,448
V27,2,139_2,261
V27,5,134_2,958
V27,1,137_1,125
V27,3,145_2,333
V27,4,142_2,161
